Date,Time,TimePoint,Experiment,Group,Well,ROS_Mean_TECAN,ROS_sd_TECAN,DCF_ROS_mean,Beta_catenin_mean,Time_BetaCat,Date_BetaCat
2022-01-10,11:14:06,0,3,stim,A3,0.041998201964218,0.007212492885924,21.2049931642365,11.7274125452392,14:18:40,2022-01-24
2022-01-10,15:22:32,4,3,control,B1,0.061893897497592,0.008252498298163,4.00329506278041,5.69519769379352,14:20:36,2022-01-24
2022-01-10,15:22:32,4,3,control,B2,0.064327495967207,0.008623991216848,3.27264397025941,7.55303902646606,14:22:39,2022-01-24
2022-01-10,15:22:32,4,3,control,B3,0.061532163848561,0.011251427418295,2.64278660928265,8.54623754828998,14:25:39,2022-01-24
2022-01-10,15:22:32,4,3,stim,A1,0.133200168912487,0.021578364968128,3.56671664165257,8.71455272414026,14:28:11,2022-01-24
2022-01-10,15:22:32,4,3,stim,A2,0.133712854806384,0.017900117018414,3.85302463766383,8.3878581855123,14:30:51,2022-01-24
2022-01-10,15:22:32,4,3,stim,A3,0.106226528657291,0.014648918563394,2.86261332965158,44.2788433172224,14:33:56,2022-01-24
2022-01-19,00:41:21,36,1,control,B1,0.020154897750904,0.004388724600881,3.267416600552,7.51941325878007,14:35:15,2022-01-24
2022-01-19,00:41:21,36,1,control,B2,0.033336451231405,0.005440207001481,3.77804060103836,5.15230129268316,14:35:46,2022-01-24
2022-01-19,00:41:21,36,1,control,B3,0.03256390218306,0.008781274090743,3.37495090303328,3.10923409085661,14:36:36,2022-01-24
2022-01-19,00:41:21,36,1,stim,A1,0.042607528330127,0.007719191611528,4.38345929217167,7.10372006900295,14:39:19,2022-01-24
2022-01-19,00:41:21,36,1,stim,A2,0.057917930888125,0.006918561256603,3.81956700934949,19.8303362446202,14:40:33,2022-01-24
2022-01-19,00:41:21,36,1,stim,A3,0.044916123513018,0.006680324510841,3.97008845749122,9.3177462715192,14:41:26,2022-01-24
2022-01-28,21:23:30,36,2,control,B1,0.077657415417676,0.009304967499131,1.89987863552157,16.7122409388849,09:36:04,2022-02-01
2022-01-28,21:23:30,36,2,control,B2,0.082372453183755,0.010024685245848,2.1070882311412,14.0886239678231,09:37:00,2022-02-01
2022-01-28,21:23:30,36,2,control,B3,0.082288657877068,0.012282408328024,1.94522425789342,15.0622171342541,09:38:39,2022-02-01
2022-01-28,21:23:30,36,2,stim,A1,0.100755091692784,0.015643969687449,2.62054945458832,24.1916962570954,09:40:19,2022-02-01
2022-01-28,21:23:30,36,2,stim,A2,0.10582617330312,0.011285130769585,2.15230818216958,25.6066299107839,09:43:06,2022-02-01
2022-01-28,21:23:30,36,2,stim,A3,0.087547675463306,0.009805932418413,3.11854954635073,19.9758864723729,09:47:30,2022-02-01
